 Rad.  Cumu. (%)     Num.
  1   0.000000   273904134
  2   0.033400   283826902
  3   0.068011   390957569
  4   0.115685   583184234
  5   0.186799   686575273
  6   0.270522   716538550
  7   0.357898   680478828
  8   0.440877   621606788
  9   0.516676   536236787
 10   0.582066   433044617
 11   0.634872   358833367
 12   0.678629   320031400
 13   0.717654   305884050
 14   0.754955   300315657
 15   0.791576   285741335
 16   0.826419   254847348
 17   0.857496   215716981
 18   0.883801   177825769
 19   0.905485   145279200
 20   0.923201   117262135
 21   0.937500   89242719
 22   0.948383   67394925
 23   0.956601   52823213
 24   0.963042   42651848
 25   0.968243   34445677
 26   0.972444   27383790
 27   0.975783   21940939
 28   0.978458   18042663
 29   0.980658   15067877
 30   0.982496   12961118
 31   0.984076   11352864
 32   0.985461   10360758
 33   0.986724   9720719
 34   0.987910   9164930
 35   0.989027   8665146
 36   0.990084   8202400
 37   0.991084   7904565
 38   0.992048   7729197
 39   0.992990   7461254
 40   0.993900   7064624
 41   0.994762   6683315
 42   0.995577   6440393
 43   0.996362   5969796
 44   0.997090   5356363
 45   0.997743   4649440
 46   0.998310   4031822
 47   0.998802   3375279
 48   0.999213   2730567
 49   0.999546   1961972
 50   0.999786   1035139
 51   0.999912   423754
 52   0.999963   156015
 53   0.999983   1044
 54   0.999983   39
 55   0.999983   437
 56   0.999983   101
 57   0.999983   3
 58   0.999983   0
 59   0.999983   6485
 60   0.999983   36440
 61   0.999988   919
 62   0.999988   21
 63   0.999988   0
 64   0.999988   0
 65   0.999988   0
 66   0.999988   0
 67   0.999988   818
 68   0.999988   482
 69   0.999988   2
 70   0.999988   0
 71   0.999988   0
 72   0.999988   0
 73   0.999988   0
 74   0.999988   4763
 75   0.999989   26699
 76   0.999992   804
 77   0.999992   5
 78   0.999992   0
 79   0.999992   0
 80   0.999992   0
 81   0.999992   0
 82   0.999992   544
 83   0.999992   323
 84   0.999992   1
 85   0.999992   0
 86   0.999992   0
 87   0.999992   0
 88   0.999992   0
 89   0.999992   3189
 90   0.999993   16814
 91   0.999995   498
 92   0.999995   21
 93   0.999995   0
 94   0.999995   0
 95   0.999995   0
 96   0.999995   0
 97   0.999995   0
 98   0.999995   0
 99   0.999995   0
100   0.999995   0
101   0.999995   0
102   0.999995   0
103   0.999995   0
104   0.999995   2440
105   0.999995   12096
106   0.999997   468
107   0.999997   0
108   0.999997   0
109   0.999997   0
110   0.999997   0
111   0.999997   0
112   0.999997   30
113   0.999997   1
114   0.999997   0
115   0.999997   0
116   0.999997   0
117   0.999997   0
118   0.999997   0
119   0.999997   1946
120   0.999997   8146
121   0.999998   386
122   0.999998   0
123   0.999998   0
124   0.999998   0
125   0.999998   0
126   0.999998   0
127   0.999998   0
128   0.999998   0
129   0.999998   0
130   0.999998   0
131   0.999998   0
132   0.999998   0
133   0.999998   0
134   0.999998   1384
135   0.999998   5468
136   0.999999   337
137   0.999999   3
138   0.999999   0
139   0.999999   0
140   0.999999   0
141   0.999999   0
142   0.999999   0
143   0.999999   0
144   0.999999   0
145   0.999999   0
146   0.999999   0
147   0.999999   0
148   0.999999   0
149   0.999999   1141
150   0.999999   3989
151   0.999999   260
152   0.999999   4
153   0.999999   0
154   0.999999   0
155   0.999999   0
156   0.999999   0
157   0.999999   0
158   0.999999   0
159   0.999999   0
160   0.999999   0
161   0.999999   0
162   0.999999   0
163   0.999999   0
164   0.999999   581
165   0.999999   2321
166   1.000000   136
167   1.000000   0
168   1.000000   0
169   1.000000   0
170   1.000000   0
171   1.000000   0
172   1.000000   0
173   1.000000   0
174   1.000000   0
175   1.000000   0
176   1.000000   0
177   1.000000   0
178   1.000000   0
179   1.000000   711
180   1.000000   1211
181   1.000000   0
